SAMPLING EVENT IDENTIFIER,SCIENTIFIC NAME,COMMON NAME,OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,PROTOCOL NAME,PROTOCOL CODE,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED,matched_hour,nearest_station,distance_km,co_ppm,no2_ppb,o3_ppb,pm10_ugm3,pm25_ugm3,so2_ugm3
S85559387,Heliangelus clarisse,Longuemare's Sunangel,1,4.483202,-74.0003669,2021-01-16,07:15:00,Traveling,P22,95.0,0.31,10.0,1,7,Usme,13.447659006398704,0.446911,0.02265223,,61.42429,15.04078,0.001695034
S79903330,Heliangelus clarisse,Longuemare's Sunangel,1,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S79902547,Heliangelus clarisse,Longuemare's Sunangel,1,4.6643333,-73.9643611,2021-01-25,09:25:00,Traveling,P22,230.0,0.105,2.0,1,9,MinAmbiente,12.20059278950444,,,,4.677989,27.0,
S85561519,Heliangelus clarisse,Longuemare's Sunangel,1,4.483202,-74.0003669,2021-01-16,07:15:00,Traveling,P22,95.0,0.31,10.0,1,7,Usme,13.447659006398704,0.446911,0.02265223,,61.42429,15.04078,0.001695034
S80022417,Oxyura ferruginea,Andean Duck,X,4.7302826,-74.1493195,2021-01-28,08:57:00,Traveling,P22,51.0,0.409,2.0,1,9,Bolivia,2.6738947098168167,0.5376,0.02867638,,77.66698,40.50647,0.002734946
S80024941,Oxyura ferruginea,Andean Duck,X,4.7302826,-74.1493195,2021-01-28,07:16:00,Traveling,P22,99.0,0.898,2.0,1,7,Bolivia,2.6738947098168167,1.00194,0.02564253,,57.92587,30.29237,0.007543941
S80022430,Oxyura ferruginea,Andean Duck,X,4.7302826,-74.1493195,2021-01-28,07:16:00,Traveling,P22,99.0,0.898,2.0,1,7,Bolivia,2.6738947098168167,1.00194,0.02564253,,57.92587,30.29237,0.007543941
S80024942,Oxyura ferruginea,Andean Duck,X,4.7302826,-74.1493195,2021-01-28,08:57:00,Traveling,P22,51.0,0.409,2.0,1,9,Bolivia,2.6738947098168167,0.5376,0.02867638,,77.66698,40.50647,0.002734946
S85559387,Penelope montagnii,Andean Guan,1,4.483202,-74.0003669,2021-01-16,07:15:00,Traveling,P22,95.0,0.31,10.0,1,7,Usme,13.447659006398704,0.446911,0.02265223,,61.42429,15.04078,0.001695034
S85561519,Penelope montagnii,Andean Guan,1,4.483202,-74.0003669,2021-01-16,07:15:00,Traveling,P22,95.0,0.31,10.0,1,7,Usme,13.447659006398704,0.446911,0.02265223,,61.42429,15.04078,0.001695034
S79316173,Penelope montagnii,Andean Guan,1,4.796241,-74.119193,2021-01-16,07:06:00,Traveling,P22,98.0,1.53,1.0,1,7,Bolivia,6.758640213736002,0.829838,0.02199252,,85.11694,36.38958,0.0035374
